N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto
548370,30/03/2021 16:14,15528,United Kingdom,123,229.33
575767,11/11/2021 11:11,17348,United Kingdom,163,209.73
549106,06/04/2021 12:08,17045,United Kingdom,1,39.95
573112,27/10/2021 15:33,16416,United Kingdom,357,344.83
576630,16/11/2021 08:38,13816,Germany,91,199.98
538125,09/12/2020 15:46,18225,United Kingdom,16,30
544354,18/02/2021 10:42,13489,United Kingdom,64,77.28
546369,11/03/2021 11:41,15513,United Kingdom,10,67.5
570651,11/10/2021 13:34,14911,EIRE,86,321.35
539736,21/12/2020 15:18,,United Kingdom,143,1172.46
537823,08/12/2020 14:25,,United Kingdom,1484,6073.71
575581,10/11/2021 11:53,12659,France,105,91.68
580987,06/12/2021 16:35,17389,United Kingdom,96,720
543754,11/02/2021 14:26,18159,United Kingdom,139,530.15
542418,27/01/2021 17:39,,United Kingdom,145,0
563233,14/08/2021 15:56,17988,United Kingdom,1,2.95
545417,02/03/2021 13:42,15622,United Kingdom,222,576
550759,20/04/2021 12:09,,United Kingdom,145,0
556427,10/06/2021 13:23,,United Kingdom,92,435.69
576571,15/11/2021 13:48,12950,United Kingdom,164,311.6
550623,19/04/2021 13:56,13719,United Kingdom,78,132.9
576083,14/11/2021 08:22,17404,Sweden,1060,1238.48
562417,04/08/2021 16:32,,United Kingdom,526,1691.38
570733,12/10/2021 11:33,17190,United Kingdom,160,249.74
537026,03/12/2020 16:35,12395,Belgium,528,346.1
552837,11/05/2021 14:24,12901,United Kingdom,72,140.04
550535,19/04/2021 11:19,14211,United Kingdom,72,155.6
555213,01/06/2021 12:22,13094,United Kingdom,144,152.64
549923,13/04/2021 09:59,13138,United Kingdom,72,193.62
575198,09/11/2021 09:47,12921,United Kingdom,19,71.25
569005,29/09/2021 18:30,16268,United Kingdom,465,493.76
566307,12/09/2021 09:37,14307,United Kingdom,323,656.23
539049,15/12/2020 16:21,15615,United Kingdom,364,1048.64
549684,11/04/2021 13:24,,United Kingdom,1,30
580068,01/12/2021 13:41,17321,United Kingdom,5,41.25
542745,31/01/2021 16:47,15881,United Kingdom,154,339.29
575525,10/11/2021 11:06,13983,United Kingdom,72,128.88
542936,02/02/2021 11:10,,United Kingdom,144,161.56
565682,06/09/2021 10:42,14796,United Kingdom,467,835.95
562220,03/08/2021 14:19,15150,United Kingdom,108,304.42
562002,01/08/2021 13:48,14567,United Kingdom,172,800.76
538010,09/12/2020 12:20,17526,United Kingdom,40,226.8
579089,28/11/2021 10:46,17920,United Kingdom,58,111.11
560713,20/07/2021 13:09,16774,United Kingdom,56,160.8
571098,13/10/2021 15:38,17841,United Kingdom,200,437.43
574994,08/11/2021 11:03,17870,United Kingdom,62,143.11
570257,10/10/2021 09:56,13767,United Kingdom,129,380.31
541669,20/01/2021 12:29,17315,United Kingdom,172,331.76
552404,09/05/2021 12:39,15932,United Kingdom,262,305.02
566035,08/09/2021 13:17,12839,United Kingdom,286,413.58
576911,17/11/2021 10:01,17461,United Kingdom,342,349.2
572272,21/10/2021 16:18,13171,United Kingdom,60,132.54
577783,21/11/2021 16:20,18139,United Kingdom,1644,2786.4
578757,25/11/2021 11:41,12748,United Kingdom,256,420.41
542351,27/01/2021 12:13,14560,United Kingdom,39,152.25
558245,27/06/2021 16:28,,United Kingdom,8,0
559164,06/07/2021 16:39,16422,United Kingdom,406,587.46
578150,23/11/2021 11:18,16020,United Kingdom,10,16.5
558770,03/07/2021 15:19,12748,United Kingdom,60,115.55
